2,Albania – República de Albania           
7,Antigua y Barbuda                
157,Autoridad Nacional Palestina de Cisjordania y la F
79,Bailiazgo de Guernsey  
98,Bailiazgo de Jersey 
164,Bandera de Polonia Polonia  
165,Bandera de Portugal Portugal  
18,Barbados    
20,Belice      
22,Bielorrusia – República de Bielorrusia  
25,Bosnia y Herzegovina  
30,Burkina Faso 
36,Canadá      
130,Colectividad Departamental de Mayotte 
176,Colectividad Territorial de Saint Pierre y Miquelo
201,Confederación Helvética 
56,Emiratos Árabes Unidos 
28,"Estado de Brunéi, Morada de la Paz   "
57,Estado de Eritrea 
94,Estado de Israel 
105,Estado de Kuwait
167,Estado de Qatar 
159,Estado Independiente de Papúa Nueva Guinea 
178,Estado Independiente de Samoa 
166,Estado Libre Asociado de Puerto Rico  
24,Estado Plurinacional de Bolivia  
225,Estado Vaticano; Santa Sede 
132,Estados Federados de Micronesia 
61,Estados Unidos de América 
131,Estados Unidos Mexicanos 
118,Federación de Malasia 
181,Federación de Saint Kitts y Nevis 
174,Federación Rusa 
71,Georgia 
73,Gibraltar  
114,Gran Ducado de Luxemburgo 
111,Gran República Árabe Libia Popular y Socialista 
74,Granada 
75,Grecia - República Helénica 
76,Groenlandia  
124,Isla de Man  
141,Isla de Navidad 
64,Islas Feroe (País Autogobernado en el Reino de Din
123,Islas Malvinas  
162,"Islas Pitcairn, Henderson, Ducie, y Oeno  "
177,Islas Salomón 
216,Islas Turcas y Caicos  
228,Islas Vírgenes Británicas  
229,Islas Vírgenes Estadounidenses 
96,Jamaica 
97,Japón  
15,Macomunidad de las Bahamas  
12,Mancomunidad de Australia                
52,Mancomunidad de Dominica 
125,Mancomunidad de las Islas Marianas del Norte 
135,Mongolia 
137,Montserrat  
151,Nueva Zelanda 
147, Niue (Estado Asociado de Nueva Zelanda) 
163,Polinesia Francesa 
5,Principado de Andorra                
112,Principado de Liechtenstein 
134,Principado de Mónaco 
86,Región Administrativa Especial de Hong Kong de la 
115,Región Administrativa Especial de Macao de la Repú
8,Reino de Arabia Saudita               
16,Reino de Bahréin      
19,Reino de Bélgica   
32,Reino de Bután  
34,Reino de Camboya   
51,Reino de Dinamarca 
60,Reino de España 
107,Reino de Lesoto 
154,Reino de los Países Bajos 
126,Reino de Marruecos 
149,Reino de Noruega 
197,Reino de Suazilandia 
200,Reino de Suecia 
204,Reino de Tailandia 
211,Reino de Tonga 
99,Reino Hachemita de Jordania 
168,Reino Unido de Gran Bretaña e Irlanda del Norte 
54,República Árabe de Egipto 
175,República Árabe Saharaui Democrática 
193,República Árabe Siria 
9,República Argelina Democrática y Popular       
10,República Argentina               
226,República Bolivariana de Venezuela 
169,República Centroafricana 
170,República Checa 
83,República Cooperativa de Guyana 
6,República de Angola               
11,República de Armenia               
13,República de Austria                
14,República de Azerbaiyán            
21,República de Benín  
26,República de Botsuana    
29,República de Bulgaria  
31,República de Burundi  
33,República de Cabo Verde  
35,República de Camerún    
38,República de Chile   
205,República de China 
40,República de Chipre 
41,República de Colombia 
46,República de Corea 
47,República de Costa de Marfil   
48,República de Costa Rica  
49,República de Croacia  
50,República de Cuba    
55,República de El Salvador 
58,República de Eslovaquia 
59,República de Eslovenia 
62,República de Estonia 
66,República de Finlandia 
72,República de Ghana 
78,República de Guatemala 
80,República de Guinea 
81,República de Guinea Ecuatorial 
82,República de Guinea-Bissau 
84,República de Haití 
85,República de Honduras 
87,República de Hungría 
88,República de India 
89,República de Indonesia 
91,República de Iraq 
92,República de Irlanda 
93,República de Islandia 
100,República de Kazajstán
101,República de Kenia
103,República de Kiribati
104,República de Kosovo
70,República de la Gambia 
65,República de las Filipinas 
67,República de las Islas Fiyi (Fiji) 
127,República de las Islas Marshall 
120,República de las Maldivas 
108,República de Letonia 
110,República de Liberia 
113,República de Lituania 
116,República de Macedonia 
117,República de Madagascar 
119,República de Malaui 
121,República de Malí 
122,República de Malta 
133,República de Moldova 
136,República de Montenegro  
138,República de Mozambique 
140,República de Namibia 
142,República de Nauru 
144,República de Nicaragua 
153,República de Osetia del Sur  
156,República de Palaos 
158,República de Panamá 
172,República de Ruanda 
188,República de Senegal 
189,República de Serbia 
190,República de Seychelles 
191,República de Sierra Leona 
192,República de Singapur 
195,República de Somalilandia 
198,República de Sudáfrica 
202,República de Surinam 
207,República de Tayikistán 
213,República de Trinidad y Tobago 
218,República de Turquía 
221,República de Uganda 
223,República de Uzbekistán 
224,República de Vanuatu 
231,República de Yemen 
232,República de Yibuti 
233,República de Zambia 
234,República de Zimbabue 
4,República del Alto Karabaj                
37,República del Chad   
44,República del Congo    
53,República del Ecuador 
109,República del Líbano 
145,República del Níger 
160,República del Paraguay 
161,República del Perú 
199,República del Sudán 
187,República Democrática de Santo Tomé y Príncipe 
208,República Democrática de Timor Leste 
43,República Democrática del Congo   
63,República Democrática Federal de Etiopía 
106,República Democrática Popular Lao 
196,República Democrática Socialista de Sri Lanka 
171,República Dominicana 
3,República Federal de Alemania               
146,República Federal de Nigeria 
27,República Federal del Brasil  
143,República Federal Democrática de Nepal 
68,República Francesa 
69,República Gabonesa 
1,República Islámica de Afganistán  
90,República Islámica de Irán 
129,República Islámica de Mauritania 
155,República Islámica de Pakistán 
95,República Italiana 
102,República Kirguiza
222,República Oriental del Uruguay 
39,República Popular China 
17,República Popular de Bangladesh   
45,República Popular Democrática de Corea  
227,República Socialista de Vietnam 
209,República Togoleña 
215,República Tunecina 
206,República Unida de Tanzania 
128, República de Mauricio 
173,Rumania 
180,San Bartolomé 
183,San Martín 
184,San Vicente y las Granadinas 
185,Santa Helena 
186,Santa Lucía 
182,Serenísima República de San Marino 
194,Somalia 
152,Sultanato de Omán 
203,Svalbard  
77,Territorio de Guam  
179,Territorio de la Samoa Americana  
148,Territorio de las Islas Norfolk 
230,Territorio de las Islas Wallis y Futuna 
150,Territorio de Nueva Caledonia y dependencias 
210,Tokelau  
212,Transnistria 
214,Tristán da Cunha  
217,Turkmenistán 
219,Tuvalu 
220,Ucrania 
42,Unión de las Comoras      
139,Unión de Myanmar 
23,Unión de Myanmar (Birmania)    
235,Unión Europea
